Date,ABEV,ODPV3.SA,VIV,PETR4.SA,BBAS3.SA,BOVA11.SA
2015-01-02,4.281933307647705,5.826656341552734,9.53173828125,2.7794137001037598,5.9978461265563965,47.2599983215332
2015-01-05,4.202773094177246,5.982118606567383,9.337211608886719,2.5418570041656494,5.873387336730957,46.31999969482422
2015-01-06,4.361095428466797,5.938589572906494,9.381673812866211,2.458712339401245,5.955478191375732,46.58000183105469
2015-01-07,4.433061122894287,6.025645732879639,9.603988647460938,2.574521541595459,6.2176337242126465,48.150001525878906
2015-01-08,4.480105876922607,6.006993293762207,9.74849796295166,2.740811347961426,6.238818645477295,48.5099983215332
2015-01-09,4.545243740081787,6.137578010559082,9.754050254821777,2.82395601272583,5.968718528747559,47.529998779296875
2015-01-12,4.57419490814209,6.094047546386719,9.770722389221191,2.625002145767212,5.865443706512451,46.83000183105469
2015-01-13,4.610383987426758,6.261948585510254,10.043059349060059,2.6992390155792236,5.831016540527344,46.63999938964844
2015-01-14,4.639333248138428,6.187326431274414,10.254260063171387,2.6457884311676025,5.873387336730957,46.47999954223633
2015-01-15,4.603146553039551,6.006993293762207,10.354301452636719,2.7645673751831055,5.836314678192139,47.0
2015-01-16,4.726186275482178,6.280602931976318,10.571056365966797,2.8031704425811768,5.90516471862793,47.599998474121094
2015-01-20,4.697235107421875,6.5355544090271,10.860063552856445,2.7645673751831055,5.852202415466309,46.52000045776367
2015-01-21,4.762372970581055,6.684799671173096,11.265788078308105,2.939764976501465,6.000495433807373,47.810001373291016
2015-01-22,4.878176689147949,6.436062335968018,11.137958526611328,3.03775691986084,6.050806045532227,48.119998931884766
2015-01-23,4.791324615478516,6.280602931976318,11.076821327209473,2.9635210037231445,6.034917831420898,47.29999923706055
2015-01-26,4.776849269866943,6.3116936683654785,10.915642738342285,2.918978214263916,5.966067314147949,47.189998626708984
2015-01-27,4.776849269866943,6.404972076416016,10.893412590026855,3.0110323429107666,6.090527057647705,47.34000015258789
2015-01-28,4.755136966705322,6.467153549194336,10.860063552856445,2.7051777839660645,5.828370094299316,46.33000183105469
2015-01-29,4.928839683532715,6.454717636108398,10.954546928405762,2.574521541595459,5.706561088562012,46.380001068115234
2015-01-30,4.762372970581055,6.436062335968018,10.248702049255371,2.464651107788086,5.470880508422852,45.61000061035156
2015-02-02,4.704472541809082,6.541777610778809,10.598845481872559,2.6101551055908203,5.349071502685547,46.27000045776367
2015-02-03,4.711711406707764,6.560430526733398,10.698884963989258,2.9605510234832764,5.521195888519287,47.63999938964844
2015-02-04,4.610383987426758,6.616396427154541,10.521037101745605,2.975398063659668,5.90516471862793,47.77000045776367
2015-02-05,4.726186275482178,6.591522693634033,10.78225326538086,2.918978214263916,6.034917831420898,47.880001068115234
2015-02-06,4.653809547424316,6.616396427154541,10.437665939331055,2.7081472873687744,5.799243927001953,47.29999923706055
2015-02-09,4.726186275482178,6.473373889923096,10.437665939331055,2.7912917137145996,5.947533130645752,47.91999816894531
2015-02-10,4.639333248138428,6.3738789558410645,10.365416526794434,2.6457884311676025,5.748929977416992,47.15999984741211
2015-02-11,4.5524821281433105,6.218419551849365,10.381794929504395,2.6962692737579346,5.812482833862305,46.95000076293945
2015-02-12,4.66104793548584,6.24951171875,10.785367965698242,2.8061389923095703,6.119656562805176,48.130001068115234
2015-02-13,4.610383987426758,6.218419551849365,11.083666801452637,2.978367328643799,6.51421594619751,49.38999938964844
2015-02-17,4.639333248138428,,11.142146110534668,,,
2015-02-18,4.653809547424316,6.286823749542236,11.142146110534668,2.9813380241394043,6.342094898223877,49.90999984741211
2015-02-19,4.610383987426758,6.3116936683654785,11.036866188049316,2.883344888687134,6.448017120361328,49.79999923706055
